id,group_id,course_code,is_mandatory,notes
4094,161,MATA33H3,1,
4095,161,MATA35H3,1,
4096,161,MATA36H3,1,
4097,161,MATA37H3,1,
4098,161,COPB11H3,1,
4099,161,COPB12H3,1,
4100,161,COPB10Y3,1,
4101,162,CSCA08H3,1,
4102,162,CSCA67H3,1,
4103,162,MATA22H3,1,
4104,162,MATA31H3,1,
4105,162,MATA37H3,1,
4106,162,COPB50H3,1,
4107,162,COPB56H3,1,
4108,162,COPB51H3,1,
4109,162,COPB57H3,1,
4110,162,COPB52H3,1,
4111,162,COPC98H3,1,
4112,162,COPC99H3,1,
4113,162,COPC01H3,1,
4114,162,COPC02H3,1,
4115,162,COPC03H3,1,
4116,162,COPC04H3,1,
4117,162,COPC05H3,1,
4118,163,CSCA08H3,1,
4119,163,CSCA67H3,1,
4120,163,MATA22H3,1,
4121,163,MATA31H3,1,
4122,163,MATA37H3,1,
4123,163,COPB50H3,1,
4124,163,COPB56H3,1,
4125,163,COPB51H3,1,
4126,163,COPB57H3,1,
4127,163,COPB52H3,1,
4128,163,COPC98H3,1,
4129,163,COPC99H3,1,
4130,163,COPC01H3,1,
4131,163,COPC02H3,1,
4132,163,COPC03H3,1,
4133,163,COPC04H3,1,
4134,163,COPC05H3,1,
4135,164,CSCA08H3,1,
4136,164,CSCA67H3,1,
4137,164,MATA22H3,1,
4138,164,MATA31H3,1,
4139,164,MATA37H3,1,
4140,164,COPB50H3,1,
4141,164,COPB56H3,1,
4142,164,COPB51H3,1,
4143,164,COPB57H3,1,
4144,164,COPB52H3,1,
4145,164,COPC98H3,1,
4146,164,COPC99H3,1,
4147,164,COPC01H3,1,
4148,164,COPC02H3,1,
4149,164,COPC03H3,1,
4150,164,COPC04H3,1,
4151,164,COPC05H3,1,
4152,165,BIOA01H3,1,
4153,165,BIOA02H3,1,
4154,165,CHMA10H3,1,
4155,165,CHMA11H3,1,
4156,165,CHMA12H3,1,
4157,165,MATA29H3,1,
4158,165,MATA30H3,1,
4159,165,MATA35H3,1,
4160,165,MATA36H3,1,
4161,165,PHYA10H3,1,
4162,165,PHYA11H3,1,
4163,165,CHMB16H3,1,
4164,165,BIOB12H3,1,
4165,165,COPB50H3,1,
4166,165,COPB54H3,1,
4167,165,COPB51H3,1,
4168,165,COPB55H3,1,
4169,165,COPB52H3,1,
4170,165,COPC98H3,1,
4171,165,COPC99H3,1,
4172,165,COPC01H3,1,
4173,165,COPC02H3,1,
4174,165,COPC03H3,1,
4175,165,COPC04H3,1,
4176,165,COPC05H3,1,
4177,166,BIOA12H3,1,
4178,166,PSYA01H3,1,
4179,166,PSYA02H3,1,
4180,166,PSYB07H3,1,
4181,166,PSYB70H3,1,
4182,166,PSYC37H3,1,
4183,166,PSYC70H3,1,
4184,166,PSYC73H3,1,
4185,166,PSYC08H3,1,
4186,166,PSYC09H3,1,
4187,166,PSYC02H3,1,
4188,166,PSYC01H3,1,
4189,166,PSYC85H3,1,
4190,166,PSYB30H3,1,
4191,166,PSYB32H3,1,
4192,166,PSYB55H3,1,
4193,166,PSYB38H3,1,
4194,166,PSYC15H3,1,
4195,166,PSYC17H3,1,
4196,166,PSYC18H3,1,
4197,166,PSYC30H3,1,
4198,166,PSYC35H3,1,
4199,166,PSYC34H3,1,
4200,166,PSYC36H3,1,
4201,166,PSYC39H3,1,
4202,166,PSYB64H3,1,
4203,166,PSYC31H3,1,
4204,166,PSYC33H3,1,
4205,166,PSYC38H3,1,
4206,166,PSYC62H3,1,
4207,166,PSYD98Y3,1,
4208,166,PSYD30H3,1,
4209,166,PSYD31H3,1,
4210,166,PSYD32H3,1,
4211,166,PSYD33H3,1,
4212,166,PSYD35H3,1,
4213,166,PSYD37H3,1,
4214,166,PSYD39H3,1,
4215,166,PSYB90H3,1,
4216,166,PSYC90H3,1,
4217,166,PSYC93H3,1,
4218,166,BIOC70H3,1,
4219,166,HLTA91H3,1,
4220,166,HLTB40H3,1,
4221,166,HLTB41H3,1,
4222,166,HLTB42H3,1,
4223,166,HLTB50H3,1,
4224,166,HLTC22H3,1,
4225,166,HLTC23H3,1,
4226,166,HLTC42H3,1,
4227,166,HLTC49H3,1,
4228,166,IDSB04H3,1,
4229,166,IDSC11H3,1,
4230,166,LINB20H3,1,
4231,166,PHLA11H3,1,
4232,166,PHLB07H3,1,
4233,166,PHLB09H3,1,
4234,166,PHLB18H3,1,
4235,166,PHLB81H3,1,
4236,166,PHLC07H3,1,
4237,166,PHLC10H3,1,
4238,166,SOCB22H3,1,
4239,166,SOCB49H3,1,
4240,166,SOCB50H3,1,
4241,166,SOCC49H3,1,
4242,166,COPB50H3,1,
4243,166,COPB54H3,1,
4244,166,COPB51H3,1,
4245,166,COPB55H3,1,
4246,166,COPB52H3,1,
4247,166,COPC98H3,1,
4248,166,COPC99H3,1,
4249,166,COPC01H3,1,
4250,166,COPC02H3,1,
4251,166,COPC03H3,1,
4252,166,COPC04H3,1,
4253,166,COPC05H3,1,
4254,167,BIOA11H3,1,
4255,167,BIOA12H3,1,
4256,167,MATA02H3,1,
4257,167,BIOA01H3,1,
4258,167,BIOA02H3,1,
4259,167,CHMA10H3,1,
4260,167,CHMA11H3,1,
4261,167,CHMA12H3,1,
4262,167,MATA29H3,1,
4263,167,MATA30H3,1,
4264,167,MATA35H3,1,
4265,167,MATA36H3,1,
4266,167,PHYA10H3,1,
4267,167,PHYA11H3,1,
4268,167,PHYA21H3,1,
4269,167,PHYA22H3,1,
4270,167,STAB22H3,1,
4271,167,PSYB07H3,1,
4272,167,BIOB10H3,1,
4273,167,BIOB11H3,1,
4274,167,BIOB34H3,1,
4275,167,BIOB38H3,1,
4276,167,BIOB50H3,1,
4277,167,BIOB51H3,1,
4278,167,BIOB90H3,1,
4279,167,BIOB12H3,1,
4280,167,CHMB41H3,1,
4281,167,CHMB42H3,1,
4282,167,BIOC12H3,1,
4283,167,BIOC13H3,1,
4284,167,BIOC15H3,1,
4285,167,BIOC17H3,1,
4286,167,BIOC20H3,1,
4287,167,BIOC23H3,1,
4288,167,BIOC39H3,1,
4289,167,CSCA08H3,1,
4290,167,CSCA20H3,1,
4291,167,BIOC10H3,1,
4292,167,BIOC14H3,1,
4293,167,BIOC18H3,1,
4294,167,BIOC19H3,1,
4295,167,BIOC21H3,1,
4296,167,BIOC30H3,1,
4297,167,BIOC31H3,1,
4298,167,BIOC35H3,1,
4299,167,BIOC40H3,1,
4300,167,BIOC70H3,1,
4301,167,BIOD37H3,1,
4302,167,BIOC90H3,1,
4303,167,BIOD21H3,1,
4304,167,BIOD12H3,1,
4305,167,BIOD13H3,1,
4306,167,BIOD15H3,1,
4307,167,BIOD17H3,1,
4308,167,BIOD18H3,1,
4309,167,BIOD19H3,1,
4310,167,BIOD20H3,1,
4311,167,BIOD22H3,1,
4312,167,BIOD23H3,1,
4313,167,BIOD24H3,1,
4314,167,BIOD25H3,1,
4315,167,BIOD26H3,1,
4316,167,BIOD27H3,1,
4317,167,BIOD29H3,1,
4318,167,BIOD30H3,1,
4319,167,BIOD36H3,1,
4320,167,BIOD95H3,1,
4321,167,BIOD98Y3,1,
4322,167,COPB50H3,1,
4323,167,COPB54H3,1,
4324,167,COPB51H3,1,
4325,167,COPB55H3,1,
4326,167,COPB52H3,1,
4327,167,COPC98H3,1,
4328,167,COPC99H3,1,
4329,167,COPC01H3,1,
4330,167,COPC02H3,1,
4331,167,COPC03H3,1,
4332,167,COPC04H3,1,
4333,167,COPC05H3,1,
4334,168,BIOA01H3,1,
4335,168,BIOA02H3,1,
4336,168,CHMA10H3,1,
4337,168,CHMA11H3,1,
4338,168,CHMA12H3,1,
4339,168,PSYA01H3,1,
4340,168,PSYA02H3,1,
4341,168,MATA29H3,1,
4342,168,MATA30H3,1,
4343,168,BIOB10H3,1,
4344,168,NROB60H3,1,
4345,168,NROB61H3,1,
4346,168,PSYB07H3,1,
4347,168,STAB22H3,1,
4348,168,PSYB55H3,1,
4349,168,PSYB70H3,1,
4350,168,BIOB11H3,1,
4351,168,CSCA20H3,1,
4352,168,CHMB41H3,1,
4353,168,CHMB42H3,1,
4354,168,MATA23H3,1,
4355,168,PHYA10H3,1,
4356,168,PHYA11H3,1,
4357,168,PSYB51H3,1,
4358,168,PSYC08H3,1,
4359,168,PSYC09H3,1,
4360,168,BIOB12H3,1,
4361,168,NROC36H3,1,
4362,168,NROC69H3,1,
4363,168,BIOC12H3,1,
4364,168,BIOC13H3,1,
4365,168,BIOC14H3,1,
4366,168,BIOC44H3,1,
4367,168,NROC34H3,1,
4368,168,NROC61H3,1,
4369,168,NROC64H3,1,
4370,168,PSYC62H3,1,
4371,168,PSYC51H3,1,
4372,168,PSYC52H3,1,
4373,168,PSYC53H3,1,
4374,168,PSYC54H3,1,
4375,168,PSYC57H3,1,
4376,168,PSYC59H3,1,
4377,168,NROC60H3,1,
4378,168,NROC63H3,1,
4379,168,NROC90H3,1,
4380,168,NROC93H3,1,
4381,168,BIOD06H3,1,
4382,168,BIOD07H3,1,
4383,168,BIOD08H3,1,
4384,168,NROD08H3,1,
4385,168,BIOD65H3,1,
4386,168,NROD60H3,1,
4387,168,NROD61H3,1,
4388,168,NROD66H3,1,
4389,168,NROD67H3,1,
4390,168,NROD98Y3,1,
4391,168,PSYD66H3,1,
