course_code,course_code_prefix,offering_code,course_name,course_details,credits,prerequisites,corequisites,exclusions,breadth_requirements,course_experience,note,course_link
MGFC85,MGF,C85,Special Topics in Finance,"This course covers special topics in the area of finance. The specific topics will vary from year to year, but could include topics in Financial Markets, Financial Intermediation, Corporate Governance, Real Estate Finance, Retirement Planning, and Sustainable Finance. The specific topics to be covered will be set out in the syllabus for the course for each semester in which it is offered.",0.5,MGFB10H3and MGFC10H3,,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFC85H3
MGFD15,MGF,D15,Private Equity,"This course explores the private equity asset class and the private equity acquisition process. It covers both the academic and practical components of private equity investing, including: deal sourcing, financial modelling and valuations, transaction structuring, financing, diligence, negotiations, post transaction corporate strategy and governance.",0.5,MGAB02H3and MGFC10H3,,"RSM439H1, MGT495H5",Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFD15H3
MGFD25,MGF,D25,Financial Technologies and Applications (FinTech),"Financial Technologies (FinTech) are changing our everyday lives and challenging many financial institutions to evolve and adapt. The course explores disruptive financial technologies and innovations such as mobile banking, cryptocurrencies, Robo-advisory and the financial applications of artificial intelligence (AI) etc. The course covers the various areas within the financial industry that are most disrupted, thus leading to discussions on the challenges and opportunities for both the financial institutions and the regulators. Classes are conducted in the experiential learning lab where students explore academic, research and practical components of FinTech.",0.5,MGFC10H3,MGFC35H3/(MGFD10H3),"RSM316H1, MGT415H5Recommended Preparation: CSCA20H3",Quantitative Reasoning,,,https://ttb.utoronto.ca/cp/MGFD25H3
MGFD30,MGF,D30,Risk Management,"This course develops analytical skills in financial risk management. It introduces techniques used for evaluating, quantifying and managing financial risks. Among the topics covered are market risk, credit risk, operational risk, liquidity risk, bank regulations and credit derivatives.",0.5,MGFC10H3,,"ECO461H1, RSM432H1",Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFD30H3
MGFD40,MGF,D40,Investor Psychology and Behavioural Finance,"This course is designed to help students understand how different psychological biases can affect investor behaviours and lead to systematic mispricing in the financial market. With simulated trading games, students will learn and practice various trading strategies to take advantage of these market anomalies.",0.5,MGFC10H3and MGEB12H3,,MGT430H5,Social and Behavioural Sciences,University-Based Experience,,https://ttb.utoronto.ca/cp/MGFD40H3
MGFD50,MGF,D50,Mergers and Acquisitions: Theory and Practice,"This course provides a general introduction to the important aspects of M&A, including valuation, restructuring, divestiture, takeover defences, deal structuring and negotiations, and legal issues.",0.5,MGFC10H3,,MGT434H5,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFD50H3
MGFD60,MGF,D60,Financial Modeling and Trading Strategies,This course integrates finance theories and practice by using financial modeling and simulated trading. Students will learn how to apply the theories they learned and to use Excel and VBA to model complex financial decisions. They will learn how the various security markets work under different simulated information settings.,0.5,,,"MGT441H5, RSM434H1",Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFD60H3
MGFD70,MGF,D70,Advanced Financial Management,"This course reinforces and expands upon the topics covered in MGFB10H3/(MGTB09H3), (MGTC03H3) and MGFC10H3/(MGTC09H3). It examines more advanced and complex decision making situations a financial manager faces in such areas as capital budgeting, capital structure, financing, working capital management, dividend policy, leasing, mergers and acquisitions, and risk management.",0.5,MGFC10H3,,"MGT431H5, MGT433H5, RSM433H1",Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFD70H3
MGFD85,MGF,D85,Advanced Special Topics in Finance,"This course covers special topics in the area of finance. The specific topics will vary from year to year but could include topics in Financial Markets, Financial Intermediation, Corporate Governance, Real Estate Finance, Retirement Planning, Sustainable Finance, and Fixed Income. The specific topics to be covered will be set out in the syllabus for the course for each semester in which it is offered.",0.5,MGFB10H3and MGFC10H3,,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGFD85H3
MGHA12,MGH,A12,Human Resource Management,"An introduction to current human resource practices in Canada, emphasizing the role of Human Resource Management in enhancing performance, productivity and profitability of the organization. Topics include recruitment, selection, training, career planning and development, diversity and human rights issues in the work place.",0.5,,,,Social and Behavioural Sciences,,,https://ttb.utoronto.ca/cp/MGHA12H3
