group_id,program_code,group_type,min_courses,min_credits,path_id,combined_group_id,combined_min_credits,category,notes
153,SCSPE25406,ALL,,4.0,,,,Required,
154,SCSPE0506C,ALL,,4.0,,,,Required,
155,SCSPE24315,ALL,,4.0,,,,Required,
156,SCSPE2432B,ALL,,4.0,,,,Required,
157,SCSPE2432G,ALL,,4.0,,,,Required,
158,SCSPE2432J,ALL,,4.0,,,,Required,
159,SCSPE2431R,ALL,,4.0,,,,Required,
160,SCSPE2431J,ALL,,4.0,,,,Required,
161,SCSPE2432N,ALL,,4.0,,,,Required,
162,SCSPE1165U,ALL,,4.0,,,,Required,
163,SCSPE1165M,ALL,,4.0,,,,Required,
164,SCSPE1166T,ALL,,4.0,,,,Required,
165,SCSPE1995C,ALL,,4.0,,,,Required,
166,SCSPE1160N,ALL,,4.0,,,,Required,
167,SCSPE1203C,ALL,,4.0,,,,Required,
168,SCSPE1272C,ALL,,4.0,,,,Required,
169,SCSPE1172C,ALL,,4.0,,,,Required,
170,SCSPE1372C,ALL,,4.0,,,,Required,
171,SCSPE0231C,ALL,,4.0,,,,Required,
172,SCSPEPLINC,ALL,,4.0,,,,Required,
173,SCSPE1160A,ALL,,4.0,,,,Required,
174,SCSPE2299T,ALL,,4.0,,,,Required,
175,SCSPE2289Y,ALL,,4.0,,,,Required,
176,SCSPE2279Y,ALL,,4.0,,,,Required,
177,SCSPE2432R,ALL,,4.0,,,,Required,
178,SCSPE2432P,ALL,,4.0,,,,Required,
179,SCSPEJOU,ALL,,,,,,Required,
180,SCSPEMIT,ALL,,15.5,,,,Required,
181,SCSPEPMD,ALL,,,,,,Required,
182,SCSPE1180,ALL,,4.0,,,,Required,
183,SCSPE1190,ALL,,4.0,,,,Required,
184,SCSPE1376,ALL,,,,,,Required,
185,SCSPECIT,ALL,,4.0,,,,Required,
186,SCSPE0510,ALL,,,,,,Required,
187,SCSPE0805,ALL,,,,,,Required,
188,SCSPE0455,ALL,,,,,,Required,
189,SCSPE0795,ALL,,,,,,Required,
190,SCSPE1150,ALL,,4.0,,,,Required,
191,SCSPE0133,ALL,,4.0,,,,Required,
192,SCSPE1645,ALL,,,,,,Required,
193,SCSPE0361,ALL,,,,,,Required,
194,SCSPE0351A,ALL,,,,,,Required,
195,SCSPE1076B,ALL,,,,,,Required,
196,SCSPE17806,ALL,,,,,,Required,
197,SCSPE2156,ALL,,,,,,Required,
198,SCSPEGAS,ALL,,12.0,,,,Required,
199,SCSPE0371,ALL,,,,,,Required,
200,SCSPE0652,ALL,,12.0,,,,Required,
201,SCSPE0215,ALL,,4.0,,,,Required,
202,SCSPE1666H,ALL,,12.0,,,,Required,
203,SCSPE1030A,ALL,,4.0,,,,Required,
204,SCSPE2540A,ALL,,2.0,,,,Required,
205,SCSPE2540B,ALL,,,,,,Required,
206,SCSPE0506,ALL,,12.0,,,,Required,
207,SCSPE24313,ALL,,4.0,,,,Required,
208,SCSPE2432A,ALL,,4.0,,,,Required,
209,SCSPE2432F,ALL,,4.0,,,,Required,
210,SCSPE2432H,ALL,,4.0,,,,Required,
211,SCSPE2431Q,ALL,,4.0,,,,Required,
212,SCSPE2432M,ALL,,4.0,,,,Required,
213,SCSPE11659,ALL,,,,,,Required,
214,SCSPE11655,ALL,,,,,,Required,
215,SCSPE11653,ALL,,,,,,Required,
216,SCSPE1995,ALL,,,,,,Required,
217,SCSPE1160M,ALL,,4.0,,,,Required,
218,SCSPE1203,ALL,,4.0,,,,Required,
219,SCSPE1272,ALL,,13.0,,,,Required,
220,SCSPE1172,ALL,,13.5,,,,Required,
221,SCSPE1372,ALL,,13.0,,,,Required,
222,SCSPE0231,ALL,,12.0,,,,Required,
223,SCSPE1660,ALL,,,,,,Required,
224,SCSPE1234A,ALL,,,,,,Required,
225,SCSPE2015,ALL,,,,,,Required,
226,SCSPEPLIN,ALL,,13.5,,,,Required,
227,SCSPE1160,ALL,,4.0,,,,Required,
228,SCSPE1780,ALL,,,,,,Required,
229,SCSPE1013,ALL,,,,,,Required,
230,SCSPE2289F,ALL,,,,,,Required,
231,SCSPE2289Z,ALL,,,,,,Required,
232,SCSPE2279F,ALL,,,,,,Required,
233,SCSPE2432Q,ALL,,4.0,,,,Required,
