exclusion_id,course_code,excluded_course,note
1237,PSYD54H3,PSYD51H3,
1238,PSYD55H3,PSYC76H3,
1239,PSYD55H3,PSYC51H3,
1240,PSYD55H3,PSYC52H3,
1241,PSYD55H3,PSYC57H3,
1242,PSYD55H3,PSYC59H3,
1243,PSYD59H3,PSYD50H3,
1244,PSYD59H3,PSYC10H3,
1245,PSYD59H3,PSYC19H3,
1246,PSYD59H3,PSYC50H3,
1247,PSYD59H3,PSYC57H3,
1248,PSYD62H3,NROD60H3,
1255,SOCB05H3,SOCB40H3,
1265,SOCB54H3,GGRD16H3,
1267,SOCC09H3,SOCB22H3,
1268,SOCC09H3,SOCB49H3,
1274,SOCC49H3,HLTC49H3,
1275,SOCC51H3,HLTC51H3,
1278,SOCD11H3,HLTD11H3,
1279,SOCD52H3,SOCD44H3,
1280,STAA57H3,STAB22H3,
1281,STAB27H3,MGEB12H3,
1283,STAB27H3,STAB57H3,
1285,STAB40H3,MGFB10H3,
1286,STAB41H3,MGFC30H3,
1288,STAB52H3,STAB53H3,
1289,STAB52H3,PSYB07H3,
1290,STAB53H3,STAB52H3,
1291,STAB53H3,PSYB07H3,
1292,STAB57H3,MGEB11H3,
1293,STAB57H3,PSYB07H3,
1294,STAB57H3,STAB22H3,
1295,STAB57H3,STAB23H3,
1296,STAC32H3,STAC33H3,
1297,STAC33H3,STAC32H3,
1298,STAC50H3,STAC53H3,
1300,STAC53H3,STAC50H3,
1304,STAC67H3,STAC67H3,
1305,STAC67H3,MGEB12H3,
1306,STAC67H3,MGEB12H3,
1307,STAC67H3,STAC67H3,
1308,STAC67H3,MGEB12H3,
1309,STAC67H3,STAC67H3,
1310,STAC67H3,MGEB12H3,
1312,STAD29H3,STAC32H3,
1313,STAD29H3,STAC53H3,
1314,STAD29H3,STAC51H3,
1327,VPHB40H3,VPSB73H3,
1333,VPHB64H3,VPHB63H3,
1334,VPHB64H3,VPHB74H3,
1335,VPHB73H3,GASB73H3,
1337,VPHB77H3,GASB77H3,
1340,VPHC52H3,AFSC52H3,
1341,VPHC52H3,HISC52H3,
1342,VPHC53H3,GASC53H3,
1343,VPHC68H3,VPHC52H3,
1344,VPHC72H3,CRTC72H3,
1346,VPHC74H3,GASC74H3,
1361,VPSB80H3,VPSB67H3,
1376,WSTB10H3,WSTA01H3,
1377,WSTB10H3,WSTA03H3,
1381,WSTB22H3,HISB22H3,
1382,WSTB22H3,WSTA01H3,
1383,WSTB22H3,WSTA03H3,
1386,WSTC13H3,WSTC30H3,
1387,WSTC13H3,WSTB11H3,
1388,WSTC21H3,WSTA01H3,
1389,WSTC21H3,WSTA03H3,
1390,WSTC23H3,HCSC01H3,
1391,WSTC24H3,FSTC24H3,
1392,WSTC26H3,WSTA03H3,
1393,WSTC26H3,WSTB11H3,
1394,WSTC28H3,LINC28H3,
1396,WSTC66H3,HISC66H3,
1399,WSTC97H3,HISB50H3,
1400,WSTC97H3,AFSB50H3,
1401,WSTC97H3,HISB51H3,
1402,WSTC97H3,AFSB51H3,
1403,WSTC97H3,WSTA01H3,
1404,WSTC97H3,WSTA03H3,
1406,WSTD10H3,HISD25H3,
1407,WSTD10H3,WSTC02H3,
1408,WSTD10H3,HISD44H3,
1409,WSTD10H3,CITC10H3,
1410,WSTD16H3,HISD16H3,
1411,WSTD30H3,GASD30H3,
1412,WSTD46H3,HISD46H3,
1413,WSTD46H3,HISB02H3,
1414,WSTD46H3,HISB03H3,
1416,WSTD46H3,WSTB06H3,
1417,WSTD46H3,HISB50H3,
1418,WSTD46H3,GASB57H3,
1419,WSTD46H3,HISB57H3,
1420,WSTD46H3,HISC09H3,
1421,WSTD46H3,HISC29H3,
